type;code;name;
Character(36,0);Character(11,0);Character(60,0);
NOT NULL;NOT NULL;NOT NULL;
Справочник.ПроизводителиНоменклатуры;00000001889;AIR REFINER;
Справочник.ПроизводителиНоменклатуры;00000001889;AIR REFINER;
Справочник.ПроизводителиНоменклатуры;00000001889;AIR REFINER;
Справочник.ПроизводителиНоменклатуры;00000000579;AIR_SPR;
Справочник.ПроизводителиНоменклатуры;00000000579;AIR_SPR;
Справочник.ПроизводителиНоменклатуры;00000001731;AIRCOMFORT;
Справочник.ПроизводителиНоменклатуры;00000001731;AIRCOMFORT;
Справочник.ПроизводителиНоменклатуры;00000001207;AIR-FREN;
Справочник.ПроизводителиНоменклатуры;00000001207;AIR-FREN;
Справочник.ПроизводителиНоменклатуры;00000001818;Airgrade;
Справочник.ПроизводителиНоменклатуры;00000001818;Airgrade;
Справочник.ПроизводителиНоменклатуры;00000000578;AIRKRAFT;
Справочник.ПроизводителиНоменклатуры;00000000578;AIRKRAFT;
Справочник.ПроизводителиНоменклатуры;00000000578;AIRKRAFT;
Справочник.ПроизводителиНоменклатуры;00000003000;AIRLINE;
Справочник.ПроизводителиНоменклатуры;00000003000;AIRLINE;
Справочник.ПроизводителиНоменклатуры;00000002698;AIROGEAR;
Справочник.ПроизводителиНоменклатуры;00000002698;AIROGEAR;
Справочник.ПроизводителиНоменклатуры;00000001910;AIRREX;
Справочник.ПроизводителиНоменклатуры;00000001910;AIRREX;
Справочник.ПроизводителиНоменклатуры;00000001184;Airtech;
Справочник.ПроизводителиНоменклатуры;00000001184;Airtech;
Справочник.ПроизводителиНоменклатуры;00000002311;AIRTEX;
Справочник.ПроизводителиНоменклатуры;00000002311;AIRTEX;
Справочник.ПроизводителиНоменклатуры;00000002311;AIRTEX;
Справочник.ПроизводителиНоменклатуры;00000002566;Airwings;
Справочник.ПроизводителиНоменклатуры;00000002566;Airwings;
Справочник.ПроизводителиНоменклатуры;00000002356;AISIN;
Справочник.ПроизводителиНоменклатуры;00000002356;AISIN;
Справочник.ПроизводителиНоменклатуры;00000000729;Ajusa;
Справочник.ПроизводителиНоменклатуры;00000000729;Ajusa;
Справочник.ПроизводителиНоменклатуры;00000003635;AKEBONO;
Справочник.ПроизводителиНоменклатуры;00000003635;AKEBONO;
Справочник.ПроизводителиНоменклатуры;00000003635;AKEBONO;
Справочник.ПроизводителиНоменклатуры;00000001025;Akersan;
Справочник.ПроизводителиНоменклатуры;00000001025;Akersan;
Справочник.ПроизводителиНоменклатуры;00000000905;Akintech;
Справочник.ПроизводителиНоменклатуры;00000000905;Akintech;
Справочник.ПроизводителиНоменклатуры;00000003320;AKL;
Справочник.ПроизводителиНоменклатуры;00000003320;AKL;
Справочник.ПроизводителиНоменклатуры;00000001993;Akron Malo;
Справочник.ПроизводителиНоменклатуры;00000001993;Akron Malo;
Справочник.ПроизводителиНоменклатуры;00000003517;AKROSS;
Справочник.ПроизводителиНоменклатуры;00000003517;AKROSS;
